,epoch_losses,elapsed_time
0,2.2704680219609688,9.8105310164392
1,1.891580169758898,19.7180257961154
2,1.3917015349611324,29.665540233254433
3,1.120118826247276,39.38104275986552
4,1.008515129444447,49.16155753470957
5,0.9224838530763667,58.98665125481784
6,0.867170250415802,68.80279088765383
7,0.8214239807839089,78.4411378595978
8,0.7883261310293319,88.05228007398546
9,0.7646203322613493,97.96661078929901
10,0.7465739813256771,107.63774758763611
11,0.7300025303313072,117.3325554523617
12,0.716655643189207,127.0644223112613
13,0.7039355365519828,136.6767829116434
14,0.6928977918117605,146.25919766537845
15,0.6846502471477427,155.89114362373948
16,0.6719394852506354,165.4873992614448
17,0.6599679145407169,175.15949949994683
18,0.6447970466410861,184.84069658443332
19,0.6292810701309366,194.4638741966337
20,0.6176265350047578,204.16498096473515
21,0.6096735081774123,213.7323205769062
22,0.6020818143448932,223.28050781413913
23,0.5954376981613484,232.85936097241938
24,0.5896375875523749,242.3952626120299
25,0.5825797666894629,251.99406480416656
26,0.578017153131201,261.756156694144
27,0.5728701666314551,271.3643773794174
28,0.5667311923300966,280.94091235101223
29,0.5617938210355474,290.56990241631866
272978723
